                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0927,                 1.3152,                 1.0751,                0.48953,                0.83087,                 0.6009,                  0.377,                 1.2607,                 1.2876,                 1.2252,             0.00018718,             0.00018718,             0.00018718
                     35,                 1.0739,                 1.3141,                 1.0693,                0.49315,                0.79294,                0.60014,                0.37778,                 1.2737,                 1.2943,                 1.2263,             0.00018443,             0.00018443,             0.00018443
                     36,                 1.0601,                 1.3034,                 1.0614,                0.49094,                0.84386,                0.63534,                0.39393,                 1.2882,                 1.2387,                 1.2301,             0.00018167,             0.00018167,             0.00018167
                     37,                 1.0831,                 1.2852,                 1.0727,                0.47714,                 0.8268,                0.58217,                0.36207,                 1.2831,                 1.3424,                 1.2216,             0.00017892,             0.00017892,             0.00017892
                     38,                  1.068,                 1.2595,                 1.0551,                0.45978,                0.85369,                0.57302,                0.35717,                 1.2595,                  1.318,                  1.221,             0.00017617,             0.00017617,             0.00017617
                     39,                 1.0617,                 1.2326,                 1.0547,                0.57911,                0.77303,                0.67674,                0.42795,                 1.2436,                  1.186,                 1.2218,             0.00017342,             0.00017342,             0.00017342
                     40,                 1.0684,                 1.2245,                 1.0567,                0.50291,                0.81711,                0.62866,                0.38858,                 1.2902,                 1.3265,                 1.2329,             0.00017066,             0.00017066,             0.00017066
                     41,                 1.0504,                 1.1805,                 1.0499,                0.48869,                 0.8495,                 0.6048,                0.38547,                 1.2819,                 1.3066,                 1.2371,             0.00016791,             0.00016791,             0.00016791
                     42,                 1.0431,                 1.1662,                 1.0452,                0.49792,                0.77521,                0.60519,                0.37391,                 1.3137,                 1.3093,                 1.2471,             0.00016516,             0.00016516,             0.00016516
                     43,                 1.0187,                 1.1385,                  1.045,                0.54728,                0.78742,                 0.6702,                0.42717,                 1.2493,                 1.2933,                 1.2146,             0.00016241,             0.00016241,             0.00016241
                     44,                 1.0102,                 1.1183,                 1.0404,                0.49325,                0.80183,                0.61115,                0.37379,                  1.327,                 1.3639,                 1.2331,             0.00015966,             0.00015966,             0.00015966
                     45,                 1.0623,                 1.1097,                 1.0447,                0.62925,                0.78883,                0.77197,                0.48898,                 1.2453,                 1.1373,                  1.209,              0.0001569,              0.0001569,              0.0001569
                     46,                 1.0242,                 1.0778,                 1.0352,                0.60912,                0.81014,                0.74945,                0.47344,                 1.2454,                 1.1319,                 1.2089,             0.00015415,             0.00015415,             0.00015415
                     47,                 1.0636,                 1.0953,                 1.0594,                0.60379,                0.78558,                0.72135,                0.45485,                 1.2721,                 1.1726,                 1.2278,              0.0001514,              0.0001514,              0.0001514
                     48,                 1.0067,                 1.0428,                 1.0348,                0.70141,                0.83367,                0.82654,                0.52482,                   1.24,                 1.0065,                 1.2183,             0.00014865,             0.00014865,             0.00014865
                     49,                 1.0339,                 1.0438,                  1.044,                 0.6621,                0.79524,                0.77119,                0.47804,                 1.2676,                 1.1032,                 1.2268,             0.00014589,             0.00014589,             0.00014589
                     50,                 1.0072,                 1.0364,                  1.038,                0.49754,                0.73801,                0.59749,                0.37621,                 1.2807,                 1.4605,                 1.2211,             0.00014314,             0.00014314,             0.00014314
                     51,                  1.029,                0.96045,                 1.0368,                0.61562,                0.75707,                0.72605,                0.46407,                 1.2447,                 1.2141,                 1.2219,             0.00014039,             0.00014039,             0.00014039
                     52,                 1.0269,                0.95806,                  1.039,                0.70229,                0.78276,                0.80013,                0.50938,                  1.242,                 1.0551,                  1.219,             0.00013764,             0.00013764,             0.00013764
                     53,                 1.0215,                0.95277,                 1.0503,                0.74391,                0.79723,                0.83736,                0.52441,                 1.3002,                0.98654,                 1.2427,             0.00013489,             0.00013489,             0.00013489
                     54,                 1.0139,                0.93244,                 1.0364,                 0.6128,                0.72139,                0.68906,                  0.437,                 1.2655,                 1.2439,                 1.2348,             0.00013213,             0.00013213,             0.00013213
                     55,                0.99788,                 0.9052,                 1.0311,                0.68028,                0.73414,                0.74821,                0.47566,                   1.25,                 1.1363,                 1.2207,             0.00012938,             0.00012938,             0.00012938
                     56,                0.98551,                0.90142,                 1.0361,                0.73643,                0.84585,                0.85891,                0.54497,                 1.2535,                0.95198,                 1.2228,             0.00012663,             0.00012663,             0.00012663
                     57,                 1.0237,                0.90656,                  1.032,                0.78069,                0.84542,                0.86326,                0.54867,                 1.2377,                0.94969,                 1.2172,             0.00012388,             0.00012388,             0.00012388
                     58,                 1.0006,                0.89457,                 1.0315,                0.77721,                0.81866,                0.85078,                0.54339,                  1.249,                0.96201,                 1.2281,             0.00012112,             0.00012112,             0.00012112
                     59,                 0.9919,                0.87047,                 1.0256,                0.75169,                0.79221,                0.83156,                 0.5349,                 1.2224,                0.99304,                 1.2042,             0.00011837,             0.00011837,             0.00011837
                     60,                0.99707,                0.85407,                 1.0289,                0.71733,                0.80235,                0.81088,                0.50247,                 1.2999,                 1.0799,                 1.2349,             0.00011562,             0.00011562,             0.00011562
                     61,                0.98247,                0.85827,                 1.0299,                0.58401,                0.71397,                0.67282,                0.43186,                 1.2616,                 1.2921,                 1.2381,             0.00011287,             0.00011287,             0.00011287
                     62,                0.98058,                0.84411,                 1.0275,                0.73696,                0.81605,                0.82951,                0.52166,                 1.2752,                 1.0093,                 1.2375,             0.00011012,             0.00011012,             0.00011012
